token_symbol,coingecko_id,profit_target,buy_target,alert_sent,buy_tax,sell_tax
ETH,ethereum,5000.0,2754.92,0,0.0,0.0
PRIVIX,privix-2,2097.54,0.664,0,0.05,0.05
ATH,aethir,3472.22,0.024,0,0.0,0.0
SNSY,sensay,3224.14,0.001432,0,0.0,0.0
BUILD,buildai,1274.52,0.136,0,0.05,0.05
CREA,coincreate,392.0,0.024,0,0.05,0.05
CPOOL,clearpool,1530.0,0.104,0,0.0,0.0
KOLT,kolytics,1027.08,0.088,0,0.05,0.05
MCADE,metacade,1014.26,0.0136,0,0.05,0.05
FET,fetch-ai,1400.0,0.496,0,0.0,0.0
HEART,humans-ai,903.48,0.008,0,0.0,0.0
